Id,Label
0,شهید_سلیمانی
1,علم_نافع
2,روز_معلم
3,عادلانه
6,ایران
7,رمضان
8,روزه
9,جامعه_مهدوی
10,منجی
11,نوروز
12,قرارگاه
14,کرونا
15,علی
16,اميرالمومنين
17,مسلمانان_مظلوم_هند
19,روز_درختکاری
20,حمله_متقابل
21,انتخابات
28,مجلس_قوی
36,جوان_ایرانی
37,آذربایجان_شرقی
38,غول_وحشی_آمریکایی
39,جنگ_نرم
42,اقتصاد_بدون_نفت
43,تحریم
44,رزق_لایحتسب
45,ایران_قوی
46,معامله_قرن
49,صندوق_رأی
51,حسن_باقری
54,گام_دوم_انقلاب
55,ثورة_العشرين_الثانية_2020
56,ملت_مقاومت_علیه_آمریکا
57,رزمندگان_بدون_مرز
60,سپاه_قدس
63,سلیمانی
69,نماز_جمعه_تاریخ ساز
70,عین_الأسد
73,نماز_جمعه_تاریخساز
74,قاسم_سلیمانی
75,انتقام_سخت
78,ملت_ایران
79,خط_جهاد_مقاومت
81,روح_مطهر_خود_او
82,سلیمانی_عزیز
83,عراق
84,حضرت_زینب
85,صدام
86,میرزا_ملکم_خان
87,مردمی_بودن
88,زلزله
89,فروپاشی
90,شهدا
91,جزیره_هرمز
92,اسلام
93,دفاع_مقدس
94,ایرانشهر
95,روژه_گارودی
96,مجمع_تقریب_مذاهب_اسلامی
97,شاه_سلطان_حسین
98,جمهوری_اسلامی
99,نیجریه
100,تخت_جمشيد
101,نماز
103,شورای_عالی_انقلاب_فرهنگی
105,۱۶آذر
106,حضرت_معصومه
107,شیعه
108,قانون_اساسی
109,روز_معلولان
110,شهيد_مدرس
111,میرزا_کوچک_خان
112,انتخابات_مجلس
113,مقاومت
114,مستضعفین
116,نظام_سلطه
121,شوروی
123,استقلال
124,سوریه
128,بسیج
129,بسیج_مستضعفین
130,تهدید
131,زنجان
132,بنزین
134,تولید_ملی
135,اقتصادی
137,آمریکا
138,هفته_وحدت
139,محمد_رسول_الله
140,خدا
143,انقلاب_اسلامی
144,گوشه_رینگ
145,مازندران
146,واردات
147,برجام
149,مذاکره_با_آمریکا
150,کوبا
151,مسئولان
152,نفوذ
153,لانه_جاسوسی
154,۱۳آبان
158,ارتش
159,امام_رضا
160,جوانان
161,جنگ
162,اربعین
163,راهپیمایی_اربعین
164,ایرانی_زندگی_کنیم
165,هسته ای
166,ایران_ساخت
170,رشد_اقتصادی
171,جغرافیای_مقاومت
172,کاهش_تعهدات
173,فشار_حداکثری
174,سپاه_پاسداران
175,سیاستهای_کلی_نظام
176,شهید
177,حقوق_عمومی
178,تولید_داخلی
179,اراک
180,سعودی
181,الحسین_یجمعنا
183,تمدن_نوین_اسلامی
186,مذاکره
188,روز_عرفه
191,حج
192,افغانستان
193,سرمربی_ایرانی
194,والیبال_جوانان
195,مسجدالاقصی
197,اسرائیل
198,حماس
199,بندرعباس
202,قوه_قضاییه
203,شینزو_آبه
204,فلسطین
205,افطاری_ساده
206,منطق_مقاومت
208,روز_قدس
209,زبان_فارسی
210,برخورد_اراده_ها
212,طلبه_همدانی
213,اهواز
218,سیل
219,صیادشیرازی
223,شیراز
224,سیل_گلستان_مازندران
225,جنگ_اقتصادی
227,سخنرانی_نوروزی
229,رونق_تولید
230,کنوانسیون
233,رئیسی
234,سیستان_و_بلوچستان
235,روز_مادر
236,حادثه_تروریستی
240,ما_میتوانیم
245,22بهمن
247,پاریس
248,مرگ_بر_آمریکا
252,فضای_مجازی
253,جهاد_مغنية
254,سقوط_هواپیما
255,شایعه_سازی
256,حاج _علی _اکبری
258,هاشمی_شاهرودی
259,فتنه
262,علوم_تحقیقات
263,بازنشستگان
265,بیداری_اسلامی
267,حب_الحسین_یجمعنا
269,مدافع_حرم
270,دانشگاه_تهران
271,قاجار
272,لطفی
273,عظمت_ایران
274,شکست_تحریم
276,فرنگیس_حیدرپور
281,علیرضا_کریمی
283,حمله_تروریستی_اهواز
284,اهواز_تسلیت
286,بشماامیدوارم
287,بازیهای_آسیایی
288,غدیر
289,مردمسالاری_دینی
290,مجلس
291,پیام_حج97
292,سازمان_تبلیغات_اسلامی
295,ارز
298,دیپلماسی_ایدئولوژیک
299,عربستان
301,صداوسیما
302,حزب_الله
303,خرمشهر
305,نظام_محبوب
306,اقتدار_ملی
307,قوه_قضائیه
308,irn
311,وحدت_ملی
313,غزه
314,يوم_القدس_مسيرة_العودة
315,قدس
316,چارچوب_برجام
317,خواب_آشفته
318,نظام_وظیفه
321,اروپا_باید
324,غلامرضا_حسنی
325,قرآن
326,نمایشگاه_کتاب
330,کالای_ایرانی
331,وزارت_اطلاعات
332,مبعث
333,حرام_شرعی
335,گیلان
336,نانوتکنولوژی
339,تعصب
341,حمایت_از_کالای_ایرانی
343,راهیان_نور
344,حجاب_اجباری
346,علی_بایرامی
347,محمدحسین_حدادیان
348,روزدرختکاری
349,منطقه
353,حضرت_زهرا
354,پیشرفت
356,سیستان_وبلوچستان
357,۲۲بهمن_تماشایی
358,۲۲بهمن
359,فساد
361,عدالت_اجتماعی
363,تروریسم
364,نفتکش_سانچی
365,روایت_فتنه
367,انقلابی_نمایی
368,حائری_شیرازی
369,علی_خوش_لفظ
371,وزنه_برداری
376,زکات
382,کرمانشاه
389,سرپل_ذهاب
391,کرمانشاه_تسلیت
400,حذف_دلار
401,آذربایجان
404,حسین_فدایی
405,اقتصاد_امن
408,اردوغان
410,محسن_حججی
411,شهید_حججی
415,نقض_برجام
416,خبرگان_رهبری
419,پیام_حج96
423,حج96
425,دیپلماسی
429,امیرکبیر
430,هفته_دولت
431,لاجوردى
433,یزد
434,مجمع_تشخیص_مصلحت
435,هاشمی_رفسنجانی
439,خبرنگار
442,تنفیذ
444,امام_صادق
445,سیلی
446,موشک
448,سپاه
450,بقیع
458,حقوق_بشر_آمریکایی
460,وحدت_اسلامی
462,آتش_به_اختیار
467,عیدفطر
469,مظاهری
470,رژیم_صهیونیستی
472,هویت_ملی
473,شهید_چمران
474,داعش
482,دعا
483,امام_علی
484,شب_قدر
488,منافع_ملی
491,یا_زینب
492,جاهلیت_مدرن
495,هندوستان
496,امام_حسن
497,حرم_امام
498,گفتمان_انقلاب
502,ترقه_بازی 
503,دهه60
504,محیط_زیست
505,شورای_نگهبان
509,امام_خمینی
512,بحرین
516,جهاد
522,عزت_ملی
525,آرامش
529,انتخابات96
537,آزادی
542,امنیت
544,امنیت_ملی
547,نظام_اسلامی
551,علی_اکبر
556,معدن_گلستان
568,هویت_اسلامی
571,دشمن
574,سیل_آذربایجان
576,اشتغال
578,تولید
590,زنده 
591,اقتصاد_مقاومتی
594,اشرافیگری
597,درختکاری
598,ریزگردها
600,احمد_عزیزی
601,احمدعزیزی
603,فرهنگ
606,مذاکرات
611,حافظ
612,انتفاضه
615,جهان_اسلام
617,انتفاضه_آزادیخواهان
620,مالکوم_ایکس
624,خوزستان
629,گرانی
630,اقتصادمقاومتی
632,عاشورای88
633,آشتی_ملی
634,انقلاب
637,وقتی_مهتاب_گم_شد
638,دختر_شینا
639,تقریظ
640,ترامپ
643,اوباما
649,کارگر
657,کشتی
659,یمن
663,همدلی
668,امریکا
678,پیام_نوروزی
680,محصول_ایرانی
685,منتقدان
687,اتحادکلمه
688,امربه معروف
689,نهی ازمنکر
693,بقية_الله
694,ايران
696,مادر
697,زمین_خواری
700,افسانه
702,فیلم
705,شیار۱۴۳
707,نفت
708,هسته_ای
712,آلمان
713,chapelhillshooting
715,مسیحی
716,ارامنه
718,muslimlivesmatter
719,توافق
720,خامنه_ای
721,احمد_جبرئیل
723,islam
724,ارمنستان
725,letter4u
742,ونزوئلا
748,mi6
752,قم
753,ارمنی
754,بم
755,مذاهب
756,حدیث_اخلاق
758,دانشجو
765,شرح_حدیث_اخلاق
766,انگلیس
767,irantalksvienna
769,irantalks
770,لبنان
775,حيدر_العبادي
776,خامنه ای
781,عیدغدیر
785,رهبر
787,روحانی
795,آرامش_امت
796,بهداد_سلیمی
803,ديدار_خبرگان
804,دیدار_خبرگان
805,انتقاد
806,وحدت
807,خبرگان
810,رئیس علی دلواری
816,prayforgaza
819,نهج البلاغه
824,دولت
830,علم
831,تحریم 
832,دانشگاه
837,ورزش_همگانی
838,ورزش
841,والیبال
844,irnvsnga
847,فوتبال
848,امام_زمان
851,سیاسی
852,چپ
853,مدیریت_جهادی
854,مامیتوانیم
855,مانمیتوانیم
856,دشمن_اصلی
857,دشمن_فرعی
863,حمله_نظامی
866,استکبار
867,امام
875,اینترنت
877,مسلمان
879,کویت
883,دختران
887,روزپدر
891,پاکستان
892,اعتکاف
894,کودک
896,تحول
897,معلم
899,سالمندی_عمومی
900,مامایی
902,جوان
907,ماما
918,روزکارگر
920,ماموستا
923,گلستان
924,اختلافات
927,زن
933,irannuctechday
936,irnuctechday
937,عقب نشینی
938,پژوهش
939,سنتی
940,درمان
941,worldhealthday
947,بختیارى
952,ایجابی
953,هولوکاست
967,اقتصاد
968,سال93
970,فاطمیه
988,کوهنوردی
989,اقتصادمقاومتى
994,درختكاری
1002,شيعه
1003,سیستان بلوچستان
1004,سنّى
1007,قدرت_درونی
1008,قدرت_درونى
1014,آذربايجان
1020,ترکیه
1026,ضدوحدت
1027,تکفیری
1030,بیداری اسلامی
1032,ولادت
1033,پیامبر
1038,شهرداری
1039,تهران
1044,اخلاقی
1048,حقوق بشر
1054,بازی
1058,کووید_۱۹
1059,سرمایه_اجتماعی
1060,انتخابات_تشریفاتی
1061,klsummit2019
1063,میلاد_پیامبر
1064,کشتی_فرنگی
1065,انتخابات98
1066,خلیج_فارس
1067,ائتلاف_امید
1069,قطعنامه۲۲۳۱
1071,لیگ_ملتهای_والیبال
1072,اصل۱۳۴
1074,فراجناحی
1075,ستاره_دار
1076,نه_جنگ_نه_تحریم
1077,قطعنامه2231
1080,سازمان_ملل_متحد
1082,گزارش_به_مردم
1083,کشتی_آزاد
1084,شفاف_سازی
1085,یک_ضربان
1086,روز_ارتش
1087,ایمان_مردم
1088,بندر_چابهار
1089,اصل۵۹
1090,مخاطب_بایدها
1093,کسب_و_کار
1094,حقوق_شهروندی
1095,جیب_مردم
1096,بودجه۹۷
1097,صندوق_رفاه_اجتماعی_امید
1099,بودجه
1100,پاراوزنه_برداری
1104,رقابت_ناسالم
1106,اعتدال
1108,عید_قربان
1109,ابراهیم_یزدی
1111,دولت_دوازدهم
1113,بهشتی
1114,تولید_و_اشتغال
1116,اصل۴۴
1118,عظيم_قیچی ساز
1123,فوتبال_ساحلی
1124,وزنه برداری
1126,نیروهای_مسلح
1127,پارس_جنوبی
1128,دوباره_آمده ام
1129,الشعیرات
1130,خان شیخون
1131,تدبیر
1132,وکیل
1133,فرمان_هشت_ماده ای
1135,اکو
1136,گاز
1137,صندوق_ذخیره_ارزی
1138,آلزایمر_سیاسی
1139,دریاچه_ارومیه
1140,هورالعظیم
1141,سلامت
1145,پریسا_روحانیان
1148,تراز_تجاری_کشاورزی
1149,همسایگی
1150,امدادگران
1151,اگر_برجام_نبود
1152,هم اکنون
1153,آشتی
1154,امیری_بزرگ
1157,پاسخگو
1159,فحاشی
1161,قوانین
1162,قزاقستان
1164,منشور_حقوق_شهروندی
1166,پیشران_هسته ای
1167,نقد
1169,پسابرجام
1170,روز_دانشجو
1171,مردم
1172,ریکرو
1173,اسلوونی
1175,علی_مطهری
1176,آزادی_بیان
1177,خراسان_رضوی
1178,گازوئیل
1179,آلودگی_هوا
1183,گازرسانی
1184,آزادگان
1186,اسلحه_سابر
1187,انقلابی_واقعی
1188,نقاد
1190,آزادی_مسئولانه
1191,عهد
1194,حامی_تروریسم
1197,تعامل_سازنده
1199,گفت و گوی_همکاری های_آسیا
1201,جام جهانی
1204,پاراالمپیک
1205,جنبش_عدم_تعهد
1206,سیامند_رحمان
1208,داوود_رشیدی
1209,بی قانونی
1210,تریبون
1211,کیمیا_علیزاده
1213,گندم
1217,کیارستمی
1218,حقوق های_نامتعارف
1219,قدرت_ملی
1220,ایران_هراسی
1225,چابهار
1227,نیمه_شعبان
1229,مراجع
1231,کرواسی
1232,صلح
1233,کرمان
1234,تدبیروامید
1237,کره_جنوبی
1244,برجام_دو
1249,خشونت
1254,ايتاليا
1256,مسکن_مهر
1259,پسمان گور
1262,سال۹۵
1266,روززن
1268,کاراجیچ
1269,روسيه
1270,لاهور
1277,سالمندان
1279,زندانی
1282,شورای_عالی_امنیت_ملی
1284,مشهد
1286,راى
1288,رای
1292,مجلس خبرگان رهبری
1295,بانک_مرکزی
1297,هاشمی رفسنجانی
1300,برجام_یک
1301,امید
1303,فرانسه
1307,ایتالیا
1310,رم
1311,توافق_هسته ای
1314,تایلند
1316,چین
1320,ویزا
1323,ظریف
1324,رکود
1335,اندونزی
1338,دیپلماتیک
1341,سفارت
1345,دانمارک
1353,نگهبان
